VARDİYA SAATLERİ TAKİBİ - Haziran 2025,,,,
,,,,
ÖZET BİLGİLER,,,,
Toplam Vardiya,18,,,
Toplam Saat,41:12,,,
Ortalama Vardiya,2:17,,,
En Uzun Vardiya,3:30,,,
,,,,
Tarih,Başlangıç,Bitiş,Süre,Durum
"Perşembe, 26 Haziran",06:00,08:00,2:00,Tamamlandı
"Çarşamba, 25 Haziran",15:19,17:06,1:47,Tamamlandı
"Çarşamba, 25 Haziran",08:18,10:37,2:19,Tamamlandı
"Çarşamba, 25 Haziran",03:30,07:00,3:30,Tamamlandı
"Salı, 24 Haziran",17:30,19:05,1:35,Tamamlandı
"Salı, 24 Haziran",15:18,16:26,1:08,Tamamlandı
"Salı, 24 Haziran",11:28,13:47,2:19,Tamamlandı
"Salı, 24 Haziran",07:41,09:14,1:33,Tamamlandı
"Salı, 24 Haziran",05:46,06:34,0:48,Tamamlandı
"Pazartesi, 23 Haziran",17:20,19:04,1:44,Tamamlandı
"Pazartesi, 23 Haziran",07:19,08:44,1:25,Tamamlandı
"Pazartesi, 23 Haziran",03:30,07:00,3:30,Tamamlandı
"Pazar, 22 Haziran",03:30,07:00,3:30,Tamamlandı
"Cumartesi, 21 Haziran",15:20,16:06,0:46,Tamamlandı
"Cumartesi, 21 Haziran",11:18,12:48,1:30,Tamamlandı
"Cumartesi, 21 Haziran",09:30,10:22,0:52,Tamamlandı
"Cumartesi, 21 Haziran",06:38,08:32,1:54,Tamamlandı
"Cuma, 20 Haziran",17:21,18:37,1:16,Tamamlandı
"Cuma, 20 Haziran",15:18,16:39,1:21,Tamamlandı
"Cuma, 20 Haziran",06:18,08:14,1:56,Tamamlandı
,,,,
TOPLAM,,,41:12,18 Vardiya
